fighter,height_cm,reach_cm,stance,dob,wins,losses,draws,slpm,str_acc,sapm,str_def,td_avg,td_acc,td_def,sub_avg
Matt Brown,182.9,190.5,Orthodox,"Jan 10, 1981",26,19,0,3.76,0.55,2.92,0.55,1.68,0.46,0.63,1.3
Matt Frevola,175.3,180.3,Orthodox,"Jun 11, 1990",11,6,1,3.3,0.39,3.76,0.56,2.34,0.41,0.4,0.8
Matt Schnell,172.7,177.8,Orthodox,"Jan 15, 1990",17,10,0,4.07,0.4,4.11,0.55,0.6,0.45,0.43,1.2
Matthew Semelsberger,185.4,190.5,Switch,"Nov 23, 1992",11,8,0,3.77,0.42,4.24,0.54,1.01,0.57,0.45,0.4
Mauricio Rua,185.4,193.0,Orthodox,"Nov 25, 1981",27,14,1,3.57,0.5,2.79,0.54,2.01,0.48,0.49,0.7
Mauricio Ruffy,180.3,190.5,Orthodox,"Jun 17, 1996",13,2,0,4.19,0.58,4.09,0.58,0.0,0.0,0.85,0.0
Max Gimenis,188.0,190.5,Orthodox,"Apr 14, 1993",6,2,0,3.21,0.42,9.64,0.47,0.0,0.0,0.0,0.0
Max Griffin,180.3,193.0,Orthodox,"Nov 29, 1985",20,12,0,3.76,0.47,3.7,0.58,1.28,0.4,0.7,0.3
Max Holloway,180.3,175.3,Orthodox,"Dec 04, 1991",27,9,0,6.91,0.48,4.61,0.58,0.23,0.53,0.81,0.3
Maxim Grishin,190.5,198.1,Orthodox,"May 02, 1984",32,10,2,3.26,0.52,2.27,0.58,0.21,0.16,0.66,0.0
Maycee Barber,165.1,165.1,Switch,"May 18, 1998",15,3,0,4.56,0.53,2.78,0.55,1.56,0.45,0.51,0.1
Mayra Bueno Silva,167.6,167.6,Orthodox,"Aug 22, 1991",10,6,1,3.71,0.56,4.9,0.51,0.51,0.23,0.63,1.3
Melissa Croden,175.3,172.7,Orthodox,"Apr 12, 1991",8,3,0,4.27,0.47,2.13,0.59,2.02,0.5,0.66,0.3
Melissa Gatto,165.1,175.3,Orthodox,"May 02, 1996",9,3,2,3.47,0.49,2.67,0.54,1.77,0.27,0.58,0.4
Melissa Martinez,157.5,167.6,Southpaw,"Aug 18, 1997",8,2,0,3.78,0.47,5.21,0.53,0.35,0.5,0.5,0.0
Melissa Mullins,170.2,172.7,Orthodox,"Jul 23, 1991",7,2,0,3.71,0.5,4.39,0.52,2.03,0.42,0.85,0.0
Melquizael Costa,177.8,180.3,Southpaw,"Sep 14, 1996",26,7,0,4.38,0.49,2.97,0.54,2.0,0.4,0.58,1.1
Melsik Baghdasaryan,175.3,177.8,Southpaw,"Jan 28, 1992",8,3,0,5.04,0.59,3.14,0.56,0.0,0.0,0.72,0.0
Merab Dvalishvili,167.6,172.7,Orthodox,"Jan 10, 1991",21,5,0,4.42,0.41,2.8,0.54,5.97,0.35,0.76,0.3
Michael Aswell Jr.,172.7,175.3,Orthodox,"Sep 27, 2000",11,4,0,7.79,0.42,7.43,0.51,0.32,1.0,0.57,0.0
Michael Chandler,172.7,180.3,Orthodox,"Apr 24, 1986",23,10,0,4.04,0.49,4.52,0.43,1.96,0.41,0.61,0.6
Michael Chiesa,185.4,190.5,Southpaw,"Dec 07, 1987",20,7,0,2.02,0.4,1.73,0.57,3.11,0.47,0.65,1.0
Michael Johnson,177.8,185.4,Southpaw,"Jun 04, 1986",25,20,0,4.27,0.39,3.78,0.58,0.57,0.38,0.81,0.0
Michael Morales,182.9,200.7,Orthodox,"Jun 24, 1999",19,0,0,5.68,0.49,3.26,0.53,1.04,0.41,0.89,0.0
Michael Page,190.5,200.7,Switch,"Apr 07, 1987",25,3,0,2.28,0.58,1.51,0.62,0.19,0.16,0.7,0.0
Michal Figlak,177.8,177.8,Orthodox,"Aug 15, 1996",8,2,0,4.0,0.39,4.93,0.52,0.5,0.12,0.57,0.0
Michal Oleksiejczuk,182.9,188.0,Southpaw,"Feb 22, 1995",22,9,0,5.85,0.53,4.5,0.59,1.02,0.42,0.52,0.0
Michel Pereira,185.4,185.4,Orthodox,"Oct 06, 1993",32,14,0,4.46,0.51,4.4,0.51,1.21,0.56,0.75,0.7
Michelle Montague,175.3,172.7,Southpaw,"Nov 25, 1993",7,0,0,2.73,0.46,3.2,0.41,5.0,0.71,0.0,0.0
Michelle Waterson-Gomez,160.0,157.5,Orthodox,"Jan 06, 1986",18,13,0,3.42,0.46,4.25,0.48,1.39,0.33,0.69,0.6
Mick Parkin,193.0,200.7,Orthodox,"Oct 02, 1995",10,1,0,4.7,0.5,4.13,0.58,1.38,0.46,0.5,0.2
Mickey Gall,188.0,188.0,Switch,"Jan 22, 1992",7,7,0,3.5,0.49,4.72,0.49,1.15,0.32,0.37,1.6
Miesha Tate,167.6,165.1,Orthodox,"Aug 18, 1986",20,10,0,2.62,0.44,3.05,0.51,1.97,0.3,0.56,1.2
Miguel Baeza,188.0,188.0,Orthodox,"Aug 23, 1992",10,4,0,4.09,0.49,5.92,0.46,0.36,0.22,0.54,2.0
Mike Breeden,177.8,177.8,Orthodox,"Apr 21, 1989",11,6,0,5.75,0.45,7.28,0.42,0.98,0.3,0.67,0.0
Mike Davis,182.9,182.9,Orthodox,"Oct 07, 1992",12,3,0,4.73,0.53,5.23,0.54,2.4,0.44,0.6,0.8
Mike Malott,185.4,185.4,Orthodox,"Nov 07, 1991",14,2,1,4.02,0.48,3.09,0.56,1.63,0.5,0.57,0.7
Miles Johns,170.2,172.7,Orthodox,"Mar 30, 1994",15,5,0,3.36,0.44,2.99,0.65,1.22,0.26,0.77,0.0
Miranda Maverick,160.0,165.1,Southpaw,"Jul 01, 1997",17,6,0,3.22,0.44,2.25,0.61,2.16,0.4,0.45,0.4
Mitch Ramirez,180.3,180.3,Orthodox,"Nov 03, 1992",8,3,0,3.51,0.44,3.98,0.37,0.59,0.33,0.25,0.0
Mitch Raposo,165.1,162.6,Switch,"Oct 16, 1998",10,3,0,1.73,0.36,2.65,0.61,2.54,0.37,0.61,0.0
Mizuki,160.0,165.1,Orthodox,"Aug 19, 1994",16,6,0,4.45,0.52,4.65,0.49,0.75,0.33,0.8,0.0
Modestas Bukauskas,190.5,193.0,Switch,"Feb 10, 1994",19,7,0,3.24,0.42,4.05,0.5,0.26,0.66,0.79,0.1
Mohammad Yahya,175.3,185.4,Switch,"May 23, 1994",12,6,0,3.5,0.39,6.39,0.43,0.5,0.2,0.42,0.5
Mohammed Usman,188.0,200.7,Orthodox,"Apr 01, 1989",12,4,0,3.85,0.39,4.27,0.51,0.56,0.14,0.66,0.0
Molly McCann,162.6,157.5,Orthodox,"May 04, 1990",14,8,0,5.28,0.49,4.65,0.62,1.78,0.36,0.38,0.5
Montana De La Rosa,170.2,172.7,Orthodox,"Feb 14, 1995",13,9,1,2.9,0.37,3.39,0.45,1.85,0.33,0.68,0.8
Montel Jackson,177.8,190.5,Southpaw,"Apr 24, 1992",15,3,0,3.09,0.52,1.4,0.61,3.0,0.63,0.67,0.3
Montse Rendon,172.7,172.7,Orthodox,"Mar 16, 1989",7,2,0,2.95,0.27,3.65,0.57,1.91,0.37,0.85,0.3
Montserrat Conejo Ruiz,152.4,154.9,Southpaw,"Feb 03, 1993",10,5,0,2.21,0.29,6.19,0.44,1.75,0.5,0.44,0.6
Montserrat Rendon,172.7,172.7,Orthodox,"Mar 16, 1989",7,2,0,2.95,0.27,3.65,0.57,1.91,0.37,0.85,0.3
Morgan Charriere,172.7,175.3,Orthodox,"Oct 26, 1995",21,12,1,4.02,0.5,4.51,0.53,2.06,0.46,0.83,0.3
Mounir Lazzez,185.4,193.0,Orthodox,"Nov 16, 1987",11,3,0,7.49,0.55,5.42,0.53,1.8,0.57,0.71,0.0
Movsar Evloev,170.2,182.9,Orthodox,"Feb 11, 1994",20,0,0,3.91,0.47,2.8,0.61,4.78,0.52,0.61,0.2
Muhammad Mokaev,170.2,177.8,Orthodox,"Jul 30, 2000",13,0,0,1.61,0.45,1.35,0.57,5.29,0.41,0.25,0.8
Muhammad Naimov,175.3,177.8,Orthodox,"Aug 07, 1994",13,4,0,2.51,0.4,3.35,0.44,1.49,0.3,0.68,0.2
Muin Gafurov,170.2,172.7,Orthodox,"May 17, 1996",20,7,0,3.36,0.47,2.51,0.55,1.57,0.28,0.7,0.0
Muslim Salikhov,180.3,177.8,Orthodox,"Jun 09, 1984",22,6,0,3.37,0.49,2.96,0.62,1.07,0.32,0.72,0.0
Myktybek Orolbai,177.8,188.0,Orthodox,"Feb 10, 1998",16,2,1,2.78,0.5,2.7,0.51,8.77,0.59,0.4,0.5
Nasrat Haqparast,177.8,182.9,Southpaw,"Aug 22, 1995",18,6,0,6.36,0.45,6.0,0.63,0.34,0.2,0.86,0.0
Nassourdine Imavov,190.5,190.5,Orthodox,"Mar 01, 1996",17,4,0,4.28,0.54,3.17,0.58,0.74,0.32,0.81,1.0
Natalia Silva,162.6,165.1,Southpaw,"Feb 03, 1997",20,5,1,4.81,0.45,2.36,0.66,0.43,0.3,0.9,0.0
Natan Levy,175.3,180.3,Southpaw,"Sep 30, 1991",8,2,0,3.7,0.52,3.19,0.58,5.03,0.58,0.41,0.5
Nate Landwehr,175.3,182.9,Orthodox,"Jun 06, 1988",18,8,0,5.55,0.45,5.96,0.51,0.73,0.41,0.71,0.7
Nate Maness,177.8,182.9,Orthodox,"Jun 27, 1991",16,3,0,3.14,0.5,3.88,0.42,0.68,0.75,0.8,0.7
Nathan Fletcher,170.2,177.8,Orthodox,"Jan 03, 1998",9,3,0,3.41,0.59,2.16,0.57,3.37,0.38,0.5,0.7
Nathaniel Wood,167.6,175.3,Orthodox,"May 08, 1993",23,6,0,5.64,0.51,4.25,0.54,1.35,0.48,0.73,0.5
Navajo Stirling,193.0,200.7,Orthodox,"Nov 07, 1997",9,0,0,6.25,0.52,2.67,0.58,0.98,0.28,0.82,0.0
Nazim Sadykhov,177.8,175.3,Southpaw,"May 16, 1994",11,2,1,4.79,0.49,5.49,0.49,1.1,0.45,0.72,0.2
Neil Magny,190.5,203.2,Orthodox,"Aug 03, 1987",31,15,0,3.4,0.46,2.44,0.51,2.17,0.39,0.55,0.3
Nick Aguirre,175.3,188.0,Southpaw,"Jan 15, 1996",7,2,0,0.73,0.33,2.89,0.45,1.16,0.2,0.33,0.6
Nick Fiore,177.8,182.9,Orthodox,"Dec 10, 1997",6,2,0,2.83,0.46,7.93,0.42,2.5,0.45,0.71,0.0
Nick Klein,185.4,195.6,Orthodox,"Sep 08, 1995",6,3,0,2.51,0.56,3.41,0.39,5.79,0.35,0.66,1.9
Nicolas Dalby,180.3,188.0,Orthodox,"Nov 16, 1984",24,6,1,3.88,0.43,3.51,0.52,0.9,0.26,0.59,0.1
Nicolle Caliari,160.0,157.5,Orthodox,"Nov 04, 1996",8,4,0,3.46,0.38,7.01,0.53,2.88,0.24,0.0,1.0
Nikita Krylov,190.5,195.6,Orthodox,"Mar 07, 1992",31,11,0,4.36,0.54,2.59,0.47,2.05,0.37,0.53,1.2
Niko Price,182.9,193.0,Orthodox,"Sep 29, 1989",16,11,0,5.11,0.43,5.57,0.48,1.06,0.3,0.5,0.6
Nikolas Motta,175.3,177.8,Orthodox,"Feb 08, 1993",15,6,0,4.13,0.38,5.28,0.52,0.0,0.0,0.83,0.0
Nikolay Veretennikov,185.4,188.0,Orthodox,"Dec 22, 1989",14,7,0,2.69,0.56,3.3,0.45,0.42,0.16,0.62,0.4
Nora Cornolle,170.2,170.2,Orthodox,"Dec 06, 1989",9,4,0,2.73,0.55,2.04,0.56,0.22,0.11,0.47,0.2
Norma Dumont,170.2,170.2,Orthodox,"Oct 01, 1990",13,2,0,3.89,0.5,2.12,0.65,1.56,0.56,0.68,0.0
Nursulton Ruziboev,195.6,193.0,Orthodox,"Nov 19, 1993",36,9,2,2.59,0.46,2.89,0.48,0.75,0.66,0.33,0.0
Nurullo Aliev,177.8,182.9,Orthodox,"Dec 08, 2000",11,0,0,2.72,0.44,1.63,0.58,2.12,0.43,0.8,0.3
Nyamjargal Tumendemberel,170.2,180.3,Orthodox,"Mar 22, 1998",10,1,0,2.72,0.42,2.47,0.53,3.37,0.5,0.56,2.1
Oban Elliott,182.9,182.9,Orthodox,"Dec 19, 1997",12,4,0,3.62,0.48,2.24,0.61,1.52,0.4,0.52,0.0
Ode Osbourne,170.2,185.4,Southpaw,"Jan 09, 1992",13,9,0,2.94,0.4,3.24,0.49,0.94,0.29,0.66,0.4
Omar Morales,180.3,185.4,Orthodox,"Oct 17, 1985",11,4,0,3.42,0.4,3.18,0.58,0.46,1.0,0.63,0.0
Orion Cosce,180.3,180.3,Switch,"Jul 15, 1994",8,2,0,2.77,0.53,4.02,0.44,1.92,0.4,0.61,0.0
Ottman Azaitar,172.7,180.3,Switch,"Feb 20, 1990",13,3,0,4.43,0.44,4.11,0.52,0.0,0.0,1.0,0.0
Oumar Sy,193.0,210.8,Orthodox,"Nov 21, 1995",12,2,0,3.41,0.48,1.87,0.66,2.45,0.35,0.66,0.3
Ovince Saint Preux,190.5,203.2,Southpaw,"Apr 08, 1983",27,18,0,3.03,0.47,3.33,0.47,1.09,0.36,0.67,0.5
Ozzy Diaz,193.0,200.7,Orthodox,"Nov 22, 1990",10,3,0,6.44,0.5,7.23,0.59,0.0,0.0,0.5,0.0
Paddy Pimblett,177.8,185.4,Orthodox,"Jan 03, 1995",23,4,0,5.49,0.52,3.89,0.42,0.69,0.21,0.44,1.2
Pannie Kianzad,170.2,167.6,Orthodox,"Dec 08, 1991",17,9,0,4.88,0.49,4.09,0.51,0.41,0.33,0.65,0.1
Parker Porter,182.9,190.5,Orthodox,"Apr 22, 1985",14,9,0,6.55,0.5,6.32,0.51,1.35,0.26,0.66,0.5
Pat Sabatini,172.7,177.8,Orthodox,"Nov 09, 1990",21,5,0,1.69,0.59,1.09,0.5,4.48,0.5,0.5,1.5
Patchy Mix,180.3,177.8,Southpaw,"Aug 16, 1993",20,3,0,5.3,0.43,7.3,0.43,2.5,0.62,0.0,0.0
Patricio Freire,167.6,170.2,Orthodox,"Jul 07, 1987",37,9,0,2.77,0.45,4.61,0.55,1.26,0.33,0.74,0.5
Paul Craig,190.5,193.0,Orthodox,"Nov 27, 1987",17,10,1,2.5,0.45,3.04,0.43,1.43,0.18,0.35,1.3
Paulo Costa,185.4,182.9,Orthodox,"Apr 21, 1991",16,4,0,6.15,0.59,5.96,0.49,0.3,0.42,0.77,0.0
Payton Talbott,177.8,177.8,Switch,"Sep 09, 1998",11,1,0,6.62,0.56,3.41,0.46,0.78,0.44,0.77,0.2
Pedro Falcao,167.6,167.6,Orthodox,"Jul 30, 1992",16,5,0,3.21,0.48,3.39,0.5,2.73,0.25,0.66,0.0
Pedro Munhoz,167.6,165.1,Orthodox,"Sep 07, 1986",20,10,0,5.38,0.41,6.29,0.55,0.48,0.16,0.82,0.5
Pete Rodriguez,175.3,180.3,Switch,"Nov 13, 1996",5,2,0,9.28,0.43,12.83,0.42,0.0,0.0,1.0,0.0
Petr Yan,170.2,170.2,Switch,"Feb 11, 1993",20,5,0,5.16,0.54,4.24,0.59,1.7,0.49,0.86,0.1
Phil Hawes,182.9,195.6,Orthodox,"Jan 08, 1989",12,6,0,5.33,0.59,3.72,0.55,2.11,0.34,0.9,0.2
Phil Rowe,190.5,203.2,Orthodox,"Jul 18, 1990",11,7,0,3.51,0.49,4.15,0.5,0.46,0.36,0.53,0.2
Philipe Lins,188.0,198.1,Orthodox,"Aug 17, 1985",18,5,0,3.8,0.49,3.59,0.46,1.65,0.33,1.0,0.0
Piera Rodriguez,160.0,160.0,Orthodox,"Nov 11, 1992",12,2,0,4.04,0.46,3.13,0.53,4.04,0.5,0.81,0.0
Polyana Viana,165.1,170.2,Orthodox,"Jun 14, 1992",13,8,0,2.74,0.4,2.5,0.53,0.75,0.33,0.35,1.7
Preston Parsons,180.3,180.3,Orthodox,"Jul 15, 1995",11,6,0,3.54,0.51,3.25,0.54,3.46,0.36,0.71,2.3
Priscila Cachoeira,170.2,165.1,Orthodox,"Aug 19, 1988",13,8,0,4.43,0.44,7.6,0.45,0.25,0.4,0.69,0.0
Puja Tomar,162.6,149.9,Southpaw,"Dec 05, 1993",9,5,0,5.61,0.48,5.82,0.46,0.0,0.0,1.0,0.0
Punahele Soriano,180.3,182.9,Southpaw,"Nov 22, 1992",13,4,0,4.42,0.53,3.31,0.47,1.97,0.51,0.48,0.1
Quang Le,170.2,177.8,Orthodox,"Oct 18, 1991",9,3,0,2.82,0.38,4.59,0.49,2.9,0.33,1.0,0.4
Quillan Salkilld,182.9,190.5,Orthodox,"Dec 28, 1999",11,1,0,5.16,0.57,3.24,0.44,7.95,0.36,0.9,0.8
Rafa Garcia,170.2,177.8,Orthodox,"Aug 05, 1994",18,4,0,4.31,0.45,4.54,0.61,3.13,0.44,0.76,0.5
Rafael Alves,172.7,172.7,Orthodox,"Nov 14, 1990",20,12,0,1.85,0.48,3.3,0.58,0.29,0.25,0.44,1.5
Rafael Cerqueira,190.5,193.0,Southpaw,"Mar 15, 1990",11,4,0,1.56,0.43,5.05,0.36,0.0,0.0,0.36,0.0
Rafael Dos Anjos,172.7,177.8,Southpaw,"Oct 26, 1984",32,17,0,3.48,0.47,3.23,0.6,1.95,0.35,0.54,0.6
Rafael Estevam,172.7,175.3,Orthodox,"Aug 10, 1996",14,1,0,2.4,0.39,3.9,0.45,4.91,0.33,0.66,0.2
Rafael Fiziev,172.7,180.3,Switch,"Mar 05, 1993",13,5,0,4.71,0.52,4.84,0.49,0.83,0.66,0.9,0.0
Rafael Tobias,188.0,188.0,Orthodox,"Mar 20, 2003",14,2,0,2.77,0.36,5.81,0.35,2.4,0.33,1.0,1.6
Ramazan Temirov,162.6,160.0,Orthodox,"Jan 31, 1997",19,3,0,4.37,0.4,3.93,0.59,0.84,0.5,1.0,0.0
Ramiz Brahimaj,177.8,182.9,Orthodox,"Nov 17, 1992",13,6,0,2.29,0.48,3.27,0.47,1.99,0.34,0.44,1.6
Ramon Taveras,172.7,177.8,Southpaw,"Jan 09, 1994",10,4,0,4.07,0.43,6.45,0.54,0.0,0.0,0.72,0.0
Randy Brown,190.5,198.1,Orthodox,"Jul 08, 1990",20,8,0,4.39,0.47,3.35,0.53,0.71,0.34,0.74,0.5
Rani Yahya,167.6,170.2,Orthodox,"Sep 12, 1984",28,12,1,1.71,0.38,2.08,0.5,2.73,0.3,0.29,1.8
Raoni Barcelos,170.2,170.2,Orthodox,"May 01, 1987",21,5,0,4.92,0.51,4.4,0.61,2.22,0.31,0.87,0.6
Raphael Assuncao,165.1,167.6,Orthodox,"Jul 19, 1982",28,10,0,3.22,0.42,2.5,0.66,1.65,0.39,0.78,0.2
Raquel Pennington,170.2,170.2,Orthodox,"Sep 05, 1988",16,10,0,4.1,0.49,3.32,0.61,0.83,0.27,0.62,0.6
Raul Rosas Jr.,175.3,170.2,Switch,"Oct 08, 2004",12,1,0,1.34,0.42,1.24,0.52,6.1,0.54,0.25,0.9
Ravena Oliveira,165.1,165.1,Orthodox,"Feb 20, 1997",7,4,1,1.91,0.3,3.72,0.46,0.88,0.5,0.46,0.0
Rayanne dos Santos,157.5,157.5,Orthodox,"Jun 08, 1995",14,9,0,4.57,0.4,6.47,0.59,0.5,0.14,0.8,0.0
Regina Tarin,170.2,167.6,Southpaw,"Oct 19, 2004",8,0,0,7.6,0.47,7.0,0.57,1.0,0.33,0.5,0.0
Rei Tsuruya,167.6,172.7,Orthodox,"Jun 22, 2002",10,1,0,2.24,0.52,2.01,0.42,5.06,0.37,0.5,1.9
Reinier de Ridder,193.0,198.1,Southpaw,"Sep 07, 1990",21,4,0,2.47,0.48,2.36,0.46,2.56,0.29,0.4,0.6
Renato Moicano,180.3,182.9,Orthodox,"May 21, 1989",21,7,1,4.1,0.49,3.55,0.59,1.68,0.4,0.64,0.6
Rhys McKee,188.0,198.1,Orthodox,"Sep 10, 1995",14,7,1,4.71,0.4,7.15,0.47,0.0,0.0,0.47,0.0
Ricardo Ramos,175.3,182.9,Orthodox,"Aug 01, 1995",17,8,0,2.91,0.36,3.97,0.54,2.51,0.57,0.67,1.0
Ricky Glenn,182.9,177.8,Southpaw,"Apr 12, 1989",22,9,2,3.79,0.42,4.3,0.51,0.72,0.13,0.69,0.4
Ricky Simon,167.6,175.3,Orthodox,"Aug 31, 1992",22,7,1,3.03,0.42,3.9,0.61,4.49,0.41,0.76,0.3
Ricky Turcios,175.3,180.3,Orthodox,"Jun 05, 1993",13,6,0,4.68,0.39,3.84,0.51,0.85,0.17,0.44,0.3
Rinat Fakhretdinov,182.9,188.0,Orthodox,"Sep 28, 1991",24,1,1,5.03,0.52,3.61,0.54,3.91,0.34,0.91,0.2
Rinya Nakamura,170.2,172.7,Southpaw,"Mar 23, 1995",10,1,0,3.27,0.52,1.72,0.63,2.58,0.81,1.0,1.4
Rizvan Kuniev,193.0,193.0,Orthodox,"Mar 10, 1992",13,3,1,3.94,0.54,2.33,0.48,0.98,0.75,0.93,0.0
Rob Font,172.7,180.3,Orthodox,"Jun 25, 1987",22,10,0,5.11,0.45,3.53,0.57,0.7,0.29,0.37,0.3
Robbie Lawler,180.3,188.0,Southpaw,"Mar 20, 1982",30,16,0,3.85,0.47,4.67,0.59,0.65,0.64,0.65,0.0
Robelis Despaigne,200.7,213.4,Orthodox,"Sep 09, 1988",5,2,0,2.11,0.59,2.54,0.46,0.0,0.0,0.5,0.0
Robert Bryczek,182.9,190.5,Orthodox,"Jul 04, 1990",18,6,0,3.74,0.36,4.08,0.59,0.56,1.0,0.85,0.0
Robert Ruchala,172.7,182.9,Switch,"May 15, 1998",11,3,0,3.37,0.34,5.2,0.45,1.0,0.22,0.71,0.0
Robert Valentin,188.0,195.6,Orthodox,"Mar 31, 1995",12,6,0,1.3,0.55,2.72,0.33,0.59,0.5,0.55,1.8
Robert Whittaker,182.9,185.4,Orthodox,"Dec 20, 1990",27,9,0,4.39,0.43,3.36,0.59,0.73,0.38,0.82,0.0
Roberto Romero,172.7,177.8,Orthodox,"Jan 30, 2000",8,5,1,4.56,0.49,6.44,0.44,0.0,0.0,0.71,0.0
Rodolfo Bellato,190.5,190.5,Orthodox,"Feb 05, 1996",13,3,1,5.37,0.6,5.86,0.46,1.38,0.35,0.94,0.2
Rodolfo Vieira,182.9,185.4,Orthodox,"Sep 25, 1989",11,4,0,3.55,0.53,4.38,0.49,2.7,0.21,0.75,0.9
Rodrigo Nascimento,188.0,203.2,Orthodox,"Nov 26, 1992",11,3,0,3.71,0.47,4.34,0.44,1.02,0.37,0.6,0.5
Rodrigo Sezinando,175.3,180.3,Orthodox,"Dec 11, 1997",9,2,0,2.25,0.27,8.76,0.42,3.37,0.25,0.66,0.0
Rolando Bedoya,180.3,188.0,Orthodox,"Jan 13, 1997",14,5,0,6.23,0.47,5.5,0.52,0.0,0.0,0.75,0.2
Roman Dolidze,188.0,193.0,Orthodox,"Jul 15, 1988",15,5,0,3.19,0.41,3.71,0.48,1.16,0.43,0.32,0.7
Roman Kopylov,182.9,190.5,Southpaw,"May 04, 1992",14,5,0,4.59,0.5,5.18,0.52,1.14,0.47,0.88,0.0
Ronaldo Rodriguez,167.6,165.1,Orthodox,"May 07, 1999",17,3,0,2.71,0.43,3.8,0.44,1.09,0.36,0.64,0.8
Rongzhu,175.3,180.3,Orthodox,"Mar 07, 2000",27,6,0,6.02,0.51,5.44,0.52,1.35,0.62,0.84,0.1
Roosevelt Roberts,188.0,185.4,Orthodox,"Feb 11, 1994",12,6,0,2.84,0.43,3.1,0.52,1.18,0.26,0.5,0.7
Rose Namajunas,165.1,165.1,Orthodox,"Jun 29, 1992",15,8,0,3.5,0.41,3.38,0.63,1.47,0.48,0.62,0.3
Ryan Gandra,185.4,188.0,Orthodox,"May 08, 1995",9,1,0,13.02,0.5,1.7,0.81,0.0,0.0,1.0,0.0
Ryan Loder,188.0,193.0,Southpaw,"Jun 05, 1991",8,3,0,5.1,0.69,2.46,0.5,1.37,0.14,1.0,1.4
Ryan Spann,195.6,200.7,Orthodox,"Aug 24, 1991",23,11,0,3.19,0.39,4.14,0.43,1.3,0.34,0.52,1.8
Said Nurmagomedov,172.7,177.8,Orthodox,"Apr 05, 1992",18,5,0,3.08,0.48,2.05,0.55,0.86,0.15,0.63,1.1
Saimon Oliveira,162.6,182.9,Orthodox,"Apr 21, 1991",18,7,0,2.62,0.42,3.87,0.45,1.18,0.28,0.36,1.2
Sam Hughes,165.1,162.6,Orthodox,"Jun 28, 1992",11,7,0,4.41,0.47,4.69,0.58,1.12,0.29,0.63,0.2
Sam Patterson,190.5,198.1,Orthodox,"Apr 30, 1996",14,3,1,2.62,0.37,3.06,0.5,0.82,0.5,0.33,1.6
Sangwook Kim,182.9,180.3,Orthodox,"Oct 17, 1993",13,4,0,5.11,0.55,5.82,0.44,1.77,0.22,0.72,1.2
Santiago Luna,175.3,188.0,Orthodox,"Aug 06, 2004",8,0,0,8.2,0.54,3.82,0.71,4.21,0.83,0.5,0.8
Santiago Ponzinibbio,182.9,185.4,Orthodox,"Sep 26, 1986",31,9,0,4.78,0.41,4.68,0.61,0.6,0.27,0.71,0.0
Saygid Izagakhmaev,182.9,188.0,,"Sep 03, 1994",22,3,0,1.33,0.58,1.73,0.58,4.0,0.4,1.0,0.0
Sean Brady,177.8,182.9,Orthodox,"Nov 23, 1992",18,2,0,3.96,0.55,3.05,0.59,3.53,0.53,0.86,0.9
Sean O'Malley,180.3,182.9,Switch,"Oct 24, 1994",19,3,0,6.05,0.6,3.4,0.6,0.24,0.42,0.6,0.2
Sean Sharaf,190.5,195.6,Orthodox,"Jul 11, 1993",4,2,0,7.41,0.43,15.0,0.42,0.93,0.11,0.0,0.0
Sean Strickland,185.4,193.0,Orthodox,"Feb 27, 1991",30,7,0,6.04,0.42,4.57,0.6,0.71,0.64,0.76,0.2
Sean Woodson,188.0,198.1,Orthodox,"Jun 07, 1992",13,2,1,5.57,0.46,4.18,0.58,0.58,0.55,0.84,0.3
Sebastian Szalay,167.6,167.6,Orthodox,"Feb 03, 1994",10,2,0,4.94,0.41,2.2,0.65,0.51,0.2,0.84,0.0
Sedriques Dumas,188.0,200.7,Orthodox,"Aug 06, 1995",10,4,0,2.0,0.44,2.41,0.55,1.34,0.31,0.33,0.2
Seokhyeon Ko,177.8,180.3,Southpaw,"Sep 24, 1993",13,2,0,2.73,0.59,1.42,0.58,4.0,0.63,0.75,0.3
Sergei Pavlovich,190.5,213.4,Southpaw,"May 13, 1992",20,3,0,4.43,0.44,3.62,0.55,0.48,0.25,0.75,0.0
Serghei Spivac,190.5,198.1,Orthodox,"Jan 24, 1995",18,6,0,3.57,0.47,4.23,0.52,3.82,0.59,0.63,0.5
Serhiy Sidey,180.3,182.9,Switch,"Jul 04, 1996",12,2,0,4.49,0.39,4.26,0.54,1.58,0.25,0.2,1.3
SeungGuk Choi,167.6,162.6,Orthodox,"Dec 26, 1996",7,3,0,2.69,0.42,2.69,0.65,1.02,0.27,0.74,0.0
SeungWoo Choi,182.9,188.0,Orthodox,"Nov 03, 1992",11,8,0,3.56,0.38,3.16,0.47,0.83,0.54,0.7,0.0
Shamil Abdurakhimov,190.5,193.0,Orthodox,"Sep 02, 1981",20,8,0,2.41,0.44,3.02,0.55,1.01,0.23,0.45,0.1
Shamil Gaziev,193.0,198.1,Orthodox,"Feb 10, 1990",14,2,0,2.62,0.47,3.97,0.45,0.93,0.3,0.83,0.3
Shane Young,172.7,182.9,Orthodox,"Jul 31, 1993",13,8,0,5.19,0.4,5.46,0.52,0.63,0.18,0.64,0.0
Shanelle Dyer,167.6,165.1,Orthodox,"Apr 23, 2001",7,1,0,7.71,0.46,6.72,0.51,0.7,0.08,1.0,0.0
